epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2178.54,1.48969,1.11508,0.95783,0.35588,0.28062,0.26936,0.15847,1.30938,0.97766,0.91733,0.000240404,0.000240404,0.000240404
69,2211.94,1.48662,1.10165,0.95501,0.35371,0.2858,0.27191,0.16046,1.30392,0.97202,0.91588,0.000233335,0.000233335,0.000233335
70,2245.24,1.47505,1.09003,0.95007,0.35761,0.28337,0.27006,0.15904,1.3068,0.97377,0.91571,0.000226267,0.000226267,0.000226267
71,2279.16,1.49656,1.10717,0.95508,0.35775,0.28644,0.27402,0.16109,1.30156,0.97171,0.9153,0.000219198,0.000219198,0.000219198
72,2319.09,1.47534,1.09164,0.95137,0.36054,0.28735,0.27303,0.16038,1.30252,0.97301,0.91596,0.000212129,0.000212129,0.000212129
73,2352.65,1.48779,1.1044,0.95632,0.37002,0.28696,0.27703,0.16338,1.29469,0.96504,0.91386,0.000205061,0.000205061,0.000205061
74,2385.64,1.47646,1.0896,0.94902,0.35851,0.28862,0.27637,0.16212,1.29928,0.96769,0.91548,0.000197992,0.000197992,0.000197992
75,2418.88,1.47463,1.08937,0.95275,0.35926,0.28395,0.27393,0.16065,1.30799,0.97005,0.9163,0.000190924,0.000190924,0.000190924
76,2451.15,1.48104,1.08898,0.94665,0.36348,0.28826,0.27752,0.164,1.29566,0.96354,0.91403,0.000183855,0.000183855,0.000183855
77,2483.89,1.4593,1.07299,0.94883,0.36268,0.28458,0.27611,0.16321,1.29869,0.96477,0.9149,0.000176786,0.000176786,0.000176786
78,2517.08,1.47148,1.08637,0.95376,0.35894,0.28341,0.27345,0.16208,1.29821,0.96569,0.91402,0.000169718,0.000169718,0.000169718
79,2549.2,1.47836,1.08565,0.94837,0.35029,0.28478,0.27509,0.16295,1.2954,0.96345,0.91434,0.000162649,0.000162649,0.000162649
80,2581.8,1.47661,1.0804,0.94438,0.35384,0.29052,0.27914,0.1653,1.28986,0.9531,0.91267,0.000155581,0.000155581,0.000155581
81,2614.96,1.46224,1.07399,0.95125,0.36654,0.29029,0.2781,0.1649,1.29306,0.95878,0.91332,0.000148512,0.000148512,0.000148512
82,2647.92,1.46737,1.07379,0.94777,0.35444,0.28777,0.27663,0.16375,1.29452,0.95823,0.91264,0.000141443,0.000141443,0.000141443
83,2681.3,1.47123,1.0835,0.95179,0.3596,0.28619,0.27652,0.16432,1.29093,0.95725,0.91234,0.000134375,0.000134375,0.000134375
84,2714.15,1.4553,1.0673,0.94954,0.36386,0.2855,0.27855,0.16476,1.29126,0.9575,0.91224,0.000127306,0.000127306,0.000127306
85,2747.32,1.45649,1.07035,0.94993,0.36241,0.28416,0.27828,0.16405,1.29534,0.95629,0.91235,0.000120238,0.000120238,0.000120238
86,2780.84,1.45324,1.06709,0.94911,0.3663,0.28992,0.27925,0.16484,1.29666,0.95772,0.91351,0.000113169,0.000113169,0.000113169
87,2812.02,1.4591,1.06345,0.94584,0.35492,0.28791,0.27926,0.16534,1.29293,0.95652,0.91248,0.0001061,0.0001061,0.0001061
88,2843.66,1.45189,1.05764,0.94402,0.35734,0.29022,0.28055,0.16568,1.29178,0.95339,0.91192,9.90318e-05,9.90318e-05,9.90318e-05
89,2874,1.44449,1.04919,0.94197,0.36282,0.29005,0.27991,0.1651,1.29344,0.95335,0.91246,9.19632e-05,9.19632e-05,9.19632e-05
90,2907.65,1.44271,1.0532,0.94654,0.36471,0.29088,0.27773,0.16415,1.29533,0.95436,0.91277,8.48946e-05,8.48946e-05,8.48946e-05
91,2942.53,1.36061,0.97598,0.92072,0.37171,0.29151,0.2827,0.16785,1.28529,0.94625,0.91106,7.7826e-05,7.7826e-05,7.7826e-05
92,2973.55,1.35102,0.96441,0.92212,0.36808,0.29351,0.28012,0.16638,1.28771,0.94808,0.91121,7.07574e-05,7.07574e-05,7.07574e-05
93,3004.64,1.36404,0.96678,0.92046,0.37212,0.2919,0.28248,0.16765,1.28612,0.9453,0.91116,6.36888e-05,6.36888e-05,6.36888e-05
94,3036.72,1.37342,0.97386,0.91952,0.3821,0.29446,0.285,0.16931,1.28227,0.94143,0.91026,5.66202e-05,5.66202e-05,5.66202e-05
95,3068.15,1.3525,0.96005,0.92248,0.38187,0.29241,0.28557,0.16932,1.28314,0.94245,0.91025,4.95516e-05,4.95516e-05,4.95516e-05
96,3098.94,1.36697,0.96717,0.92208,0.38307,0.29461,0.28628,0.16979,1.2826,0.94156,0.91038,4.2483e-05,4.2483e-05,4.2483e-05
97,3130.36,1.34284,0.95718,0.92411,0.38374,0.29313,0.2846,0.1689,1.28406,0.94289,0.91031,3.54144e-05,3.54144e-05,3.54144e-05
98,3161.28,1.35431,0.95903,0.92037,0.38142,0.29437,0.28473,0.16884,1.28204,0.94089,0.91001,2.83458e-05,2.83458e-05,2.83458e-05
99,3198.34,1.34505,0.9531,0.91868,0.38328,0.29357,0.28494,0.16894,1.28125,0.93972,0.90978,2.12772e-05,2.12772e-05,2.12772e-05
100,3229.22,1.34351,0.94779,0.91719,0.38564,0.29245,0.28588,0.16982,1.27962,0.939,0.90969,1.42086e-05,1.42086e-05,1.42086e-05
